School,Mascot,Arena,Hex,Hex2,Lat,Lon,Furthest_Round,Capacity,Avg_Attendance
Akron,Zips,James A. Rhodes Arena,#041e42,#c5b783,41.0759,-81.5086,362,5500,2148
Austin Peay,Governors,F&M Bank Arena,#8e0b0b,##8e0b0b,36.5343,-87.3543,362,5500,2172
Georgia Southern,Eagles,Jack and Ruth Ann Hill Convocation Center,#041e42,#a3aaae,32.4214,-81.7845,362,5500,1891
St. Bonaventure,Bonnies,Reilly Center,#70261D,##70261D,42.0805,-78.4772,362,5480,3585
North Dakota State,Bison,Scheels Center,#01402A,#ffffff,46.8831,-96.7724,362,5460,1981
Western Michigan,Broncos,University Arena,#532e1f,#f1c500,42.2833,-85.6086,362,5421,1652
Eastern Illinois,Panthers,Lantz Arena,#000000,#bebab9,39.4787,-88.1791,362,5400,1127
Southern Utah,Thunderbirds,America First Event Center,#c72026,#000000,37.6749,-113.0731,362,5300,1021
Central Michigan,Chippewas,McGuirk Arena,#4c0027,#fbab18,43.5816,-84.7742,362,5300,1977
Davidson,Wildcats,John M. Belk Arena,#000000,#e51837,35.4992,-80.8403,362,5223,2774
Rice,Owls,Tudor Fieldhouse,#00205b,#c1c6c8,29.715,-95.404,362,5208,1264
Towson,Tigers,TU Arena,#FFC229,##FFC229,39.387,-76.6186,362,5200,2447
UNC Wilmington,,Trask Coliseum,#00665e,#ffda00,34.225,-77.8783,362,5200,5077
Troy,Trojans,Trojan Arena,#862633,#b1b1b1,31.8023,-85.9524,362,5200,2918
Binghamton,Bearcats,Binghamton University Events Center,#00614A,#f0f0f0,42.0898,-75.9683,362,5142,1606
Western Illinois,Leathernecks,Western Hall,#4e1e8a,#ffc90a,40.4715,-90.6849,362,5139,556
Hofstra,Pride,Mack Sports Complex,#003594,#ffc72c,40.7198,-73.5968,362,5124,1988
San Diego,Toreros,Jenny Craig Pavilion,#2f99d4,#2f99d4,32.7745,-117.1837,362,5100,1281
Charleston,Buccaneers,TD Arena,#7a2531,#9e8959,32.7855,-79.9344,362,5100,763
Elon,Phoenix,Schar Center,#020303,#b59a57,36.1081,-79.5107,362,5100,1510
Belmont,Bruins,Curb Event Center,#182142,#c9262d,36.1326,-86.7945,362,5085,2013
California Baptist,Lancers,Fowler Events Center,#000080,##000080,33.9643,-117.3398,362,5050,3432
Army,Black Knights,Christl Arena,#000000,#d3bc8d,41.3926,-73.9599,362,5043,1293
VMI,Keydets,Cameron Hall,#ae122a,#ffd619,37.7885,-79.4366,362,5029,1844
Lipscomb,Bisons,Allen Arena,#20366C,#f6b734,36.1038,-86.7989,362,5028,1187
George Washington,Revolutionaries,Charles E. Smith Center,#002843,#e8d2a1,38.8978,-77.0494,362,5000,2272
Mississippi Valley State,Delta Devils,Harrison HPER Complex,#005328,#cf2d34,33.5113,-90.3426,362,5000,406
UMBC,Retrievers,Chesapeake Employers Insurance Arena,#000000,#ad860a,39.2524,-76.7089,362,5000,1462
Delaware,Fightin' Blue Hens,Bob Carpenter Center,#00539f,#ffd200,39.6604,-75.7487,362,5000,1890
Stetson,Hatters,Edmunds Center,#0a5640,#56854e,29.0395,-81.3018,362,5000,738
FIU,Panthers,Ocean Bank Convocation Center,#091f3f,#c3993f,25.7569,-80.3798,362,5000,653
San Jose State,Spartans,Provident Credit Union Event Center,#0038a8,#ffb81a,37.3352,-121.8812,362,5000,2143
Valparaiso,Beacons,Athletics–Recreation Center,#794500,##794500,41.4643,-87.0483,362,5000,1440
St. Thomas,Tommies,Lee and Penny Anderson Arena,#000000,##000000,44.9397,-93.1944,362,5000,2861
